Date,Airport,Departure Punctuality %,Arrival Punctuality %,Avg Departure Schedule Delay,Avg Arrival Schedule Delay,Avg Departure - Arrival Schedule Delay,Operated Schedules %,Country,Month,Weekday,Is_Weekend,Season,Airport_Size,Temperature,Precipitation,WindSpeed,Delayed
2023-12-26,Paris Orly,71.68,84.27,13.36713287,9.264801865,4.102331002,95.39,France,12,1,0,Winter,Medium,10.2,0.9,22.0,0
2024-10-08,Paris Charles de Gaulle,47.08,65.77,24.15672164,14.97954659,9.177175052,95.38,France,10,1,0,Autumn,Large,15.4,0.8,26.9,1
2026-05-11,Paris Charles de Gaulle,71.01,78.37,15.37869822,11.091582,4.287116222,93.66,France,5,0,0,Spring,Large,10.3,5.9,18.0,1
2023-03-31,Paris Orly,41.15,53.68,35.01769912,28.04646465,6.971234469,80.84,France,3,4,0,Spring,Medium,11.8,6.6,38.3,1
2024-12-18,Paris Orly,70.73,84.3,13.78455285,7.035055096,6.749497749,94.05,France,12,2,0,Winter,Medium,10.0,4.7,22.6,0
2025-08-07,Paris Orly,68.79,82.93,15.21212121,9.814278455,5.397842757,96.79,France,8,3,0,Summer,Medium,22.1,0.0,10.5,1
2024-08-20,Paris Charles de Gaulle,59.72,75.21,22.397277,13.67479452,8.722482475,96.25,France,8,1,0,Summer,Large,17.8,18.0,21.7,1
2023-11-13,Paris Orly,82.69,87.32,8.964664311,6.699061033,2.265603278,95.61,France,11,0,0,Autumn,Medium,14.3,9.5,32.8,0
2023-03-21,Paris Orly,52.26,70.53,21.74874372,14.96964573,6.779097986,78.74,France,3,1,0,Spring,Medium,10.9,0.9,20.9,1
2022-02-03,Nice,83.67,85.05,6.918367347,7.109501558,-0.191134211,86.18,France,2,3,0,Winter,Medium,10.4,0.0,11.1,0
2024-10-06,Paris Charles de Gaulle,64.35,80.76,17.42672584,9.783358779,7.64336706,96.87,France,10,6,1,Autumn,Large,12.3,1.6,20.1,1
2024-10-29,Paris Charles de Gaulle,66.19,78.28,18.21955128,11.96920583,6.250345447,79.9,France,10,1,0,Autumn,Large,10.7,0.0,11.2,1
2025-12-28,Paris Charles de Gaulle,54.86,63.8,23.2460815,21.28920455,1.956876959,97.72,France,12,6,1,Winter,Large,0.3,0.0,16.5,1
2025-11-29,Paris Orly,81.57,84.36,13.52534562,10.43017378,3.095171846,96.02,France,11,5,1,Autumn,Medium,9.7,4.6,21.9,0
2024-03-01,Paris Orly,68.14,77.85,15.89152542,13.0163311,2.875194328,94.59,France,3,4,0,Spring,Medium,7.4,5.0,31.4,1
2026-04-26,Paris Charles de Gaulle,76.89,84.6,12.01729607,8.976671851,3.040624222,97.65,France,4,6,1,Spring,Large,13.9,0.0,11.2,0
2024-08-11,Paris Charles de Gaulle,54.55,77.79,23.87157287,13.58529412,10.28627875,97.22,France,8,6,1,Summer,Large,24.1,0.0,16.5,1
2024-04-11,Paris Charles de Gaulle,65.04,84.39,15.52977099,9.887222222,5.64254877,95.24,France,4,3,0,Spring,Large,13.2,0.3,12.0,1
2023-02-01,Paris Orly,77.23,80.73,10.47767857,9.263761468,1.213917104,94.98,France,2,2,0,Winter,Medium,7.3,0.0,23.1,0
2022-11-13,Paris Orly,56.49,69.68,17.86076023,15.21817088,2.642589355,96.64,France,11,6,1,Autumn,Medium,9.1,0.0,10.4,1
2025-03-10,Nice,77.27,80.47,11.81818182,10.83076923,0.987412587,83.48,France,3,0,0,Spring,Medium,11.5,19.8,18.5,0
2025-12-03,Nice,87.39,86.99,7.050420168,6.965718157,0.084702011,85.0,France,12,2,0,Winter,Medium,11.0,17.0,21.3,0
2026-04-01,Nice,73.48,70.74,12.65745856,13.49024823,-0.832789663,86.38,France,4,2,0,Spring,Medium,12.0,0.0,16.8,0
2024-02-14,Paris Orly,84.49,90.71,9.187165775,4.825045537,4.362120238,93.97,France,2,2,0,Winter,Medium,11.2,0.5,21.1,0
2023-01-09,Nice,75.0,87.29,12.375,7.081779661,5.293220339,89.93,France,1,0,0,Winter,Medium,12.1,0.3,24.7,0
2024-11-09,Paris Orly,60.45,77.42,20.27272727,11.86029186,8.412435414,94.83,France,11,5,1,Autumn,Medium,10.0,0.0,6.9,1
2024-10-24,Nice,65.1,76.32,17.48958333,11.52482456,5.964758772,93.75,France,10,3,0,Autumn,Medium,17.0,1.3,13.3,1
2025-11-18,Paris Orly,87.73,92.38,8.518181818,6.154110613,2.364071205,96.51,France,11,1,0,Autumn,Medium,3.5,0.0,14.5,0
2024-10-21,Paris Orly,70.0,82.42,18.96666667,10.1390404,8.827626263,95.4,France,10,0,0,Autumn,Medium,17.3,1.7,25.4,1
2022-07-19,Nice,38.36,58.3,33.45553161,23.23659574,10.21893586,85.42,France,7,1,0,Summer,Medium,30.2,0.0,12.6,1
2023-12-20,Nice,75.97,84.08,15.78571429,14.06464968,1.721064604,90.71,France,12,2,0,Winter,Medium,8.6,0.0,11.1,1
2025-04-15,Nice,73.62,76.22,12.49079755,11.34065041,1.15014714,92.18,France,4,1,0,Spring,Medium,15.4,28.2,15.4,0
2023-09-14,Nice,66.53,72.44,16.6322314,14.1816273,2.450604108,86.15,France,9,3,0,Autumn,Medium,21.9,2.8,15.6,1
2024-09-13,Paris Charles de Gaulle,54.7,70.46,22.15484805,15.48731833,6.667529715,98.32,France,9,4,0,Autumn,Large,11.1,0.6,17.3,1
2023-05-10,Paris Orly,50.66,59.0,24.06953642,21.93505556,2.134480868,97.77,France,5,2,0,Spring,Medium,12.1,8.6,22.0,1
2026-01-01,Paris Orly,65.02,78.87,17.32862191,12.03591549,5.292706415,94.33,France,1,3,0,Winter,Medium,0.0,0.0,15.3,1
2024-06-12,Paris Orly,61.73,77.26,18.94135802,12.07159917,6.869758855,96.44,France,6,2,0,Summer,Medium,12.1,2.7,8.8,1
2023-07-10,Nice,46.04,66.15,29.63573141,19.2498703,10.38586112,89.23,France,7,0,0,Summer,Medium,27.4,0.0,9.4,1
2022-12-17,Nice,56.3,59.5,25.48148148,25.16900826,0.312473217,91.61,France,12,5,1,Winter,Medium,10.6,0.0,15.2,1
2022-03-21,Nice,76.52,85.71,10.81060606,6.94887218,3.86173388,86.59,France,3,0,0,Spring,Medium,10.1,0.0,29.8,0
2023-02-19,Nice,66.22,73.83,15.32432432,12.97729306,2.347031259,89.6,France,2,6,1,Winter,Medium,10.6,0.1,9.4,1
2025-06-05,Paris Charles de Gaulle,56.16,75.68,20.5530086,13.25018966,7.302818933,94.41,France,6,3,0,Summer,Large,15.0,8.1,26.2,1
2024-03-09,Paris Charles de Gaulle,64.66,78.72,19.35154827,11.36450094,7.987047328,96.7,France,3,5,1,Spring,Large,9.0,6.5,31.7,1
2024-09-12,Paris Orly,63.33,70.53,17.11818182,12.93427377,4.183908046,94.32,France,9,3,0,Autumn,Medium,11.2,2.4,22.8,1
2024-12-22,Paris Orly,44.21,53.15,26.31578947,21.60961538,4.706174089,93.85,France,12,6,1,Winter,Medium,6.8,21.4,27.4,1
2024-01-05,Nice,67.28,79.88,14.22222222,8.829065041,5.393157182,94.77,France,1,4,0,Winter,Medium,10.2,51.4,17.3,0
2025-07-30,Paris Orly,57.73,77.42,19.59475219,12.80855327,6.786198912,95.81,France,7,2,0,Summer,Medium,19.0,4.7,11.6,1
2022-10-12,Paris Charles de Gaulle,73.99,83.9,12.39555369,7.102853881,5.29269981,97.56,France,10,2,0,Autumn,Large,11.1,0.0,8.9,0
2024-10-17,Nice,52.79,53.96,25.64974619,20.44942244,5.200323751,94.81,France,10,3,0,Autumn,Medium,18.7,56.2,19.7,1
2022-09-01,Paris Orly,67.41,76.58,16.14057508,13.64810127,2.492473814,96.64,France,9,3,0,Autumn,Medium,22.1,0.1,13.4,1
2022-06-29,Nice,46.02,60.34,29.87610619,22.66278736,7.213318838,85.21,France,6,2,0,Summer,Medium,22.5,0.0,10.3,1
2026-01-31,Nice,86.24,89.0,5.743119266,6.932,-1.188880734,81.88,France,1,5,1,Winter,Medium,8.5,0.0,16.8,0
2023-04-30,Paris Orly,65.57,78.03,16.07868852,11.73630573,4.342382792,90.8,France,4,6,1,Spring,Medium,12.5,0.0,13.1,1
2023-08-13,Paris Orly,63.16,76.99,16.53560372,11.4309816,5.10462212,96.44,France,8,6,1,Summer,Medium,19.4,0.0,16.1,1
2026-01-25,Nice,71.7,76.16,16.8336478,15.03476821,1.798879587,83.59,France,1,6,1,Winter,Medium,7.2,1.3,13.7,1
2024-08-31,Paris Charles de Gaulle,48.69,65.47,27.28633721,20.31746747,6.968869742,98.16,France,8,5,1,Summer,Large,19.4,0.6,16.3,1
2023-05-01,Nice,29.28,37.71,49.97790055,38.55752381,11.42037674,71.85,France,5,0,0,Spring,Medium,16.4,10.7,9.4,1
2023-04-18,Paris Charles de Gaulle,43.58,70.49,23.93026941,14.34237108,9.587898334,99.22,France,4,1,0,Spring,Large,10.2,0.2,22.5,1
2023-11-08,Nice,87.5,86.13,6.102941176,5.959367397,0.14357378,90.26,France,11,2,0,Autumn,Medium,11.0,0.0,13.2,0
2024-07-07,Paris Charles de Gaulle,53.82,74.52,23.16470588,13.58986587,9.574840011,95.29,France,7,6,1,Summer,Large,15.0,0.1,21.1,1
2022-11-12,Nice,78.22,80.34,10.10891089,9.196438746,0.912472145,92.24,France,11,5,1,Autumn,Medium,16.3,0.0,11.8,0
2025-07-24,Paris Charles de Gaulle,35.93,62.34,36.17256011,21.08551836,15.08704175,94.72,France,7,3,0,Summer,Large,17.2,14.0,18.7,1
2023-03-28,Paris Charles de Gaulle,55.06,66.72,19.04422527,15.36530907,3.678916202,96.24,France,3,1,0,Spring,Large,6.5,0.2,19.3,1
2024-10-26,Nice,38.61,44.65,36.1399789,27.31708595,8.822892949,77.21,France,10,5,1,Autumn,Medium,17.1,26.5,14.9,1
2024-06-14,Paris Charles de Gaulle,51.43,69.01,25.03428571,15.04931925,9.984966465,97.64,France,6,4,0,Summer,Large,16.2,3.6,27.5,1
2026-01-17,Paris Orly,71.37,81.94,14.76211454,10.09581498,4.666299559,95.42,France,1,5,1,Winter,Medium,8.5,1.6,10.1,0
2022-03-07,Nice,82.95,84.62,7.899224806,6.291666667,1.60755814,88.96,France,3,0,0,Spring,Medium,7.9,0.0,14.8,0
2024-03-28,Paris Orly,69.92,81.6,14.7578125,10.49226667,4.265545833,95.54,France,3,3,0,Spring,Medium,9.0,3.0,39.2,0
2024-05-10,Paris Orly,72.43,82.68,14.3255814,9.132407407,5.193173988,88.63,France,5,4,0,Spring,Medium,16.1,0.0,14.1,0
2022-10-15,Nice,65.85,76.22,18.5304878,14.82906504,3.701422764,92.93,France,10,5,1,Autumn,Medium,18.1,0.0,9.8,1
2025-12-15,Paris Charles de Gaulle,45.67,61.53,26.33900929,18.95466567,7.384343619,97.6,France,12,0,0,Winter,Large,7.3,0.2,19.1,1
2022-11-06,Paris Orly,62.54,60.13,17.59866221,18.64894795,-1.050285744,96.24,France,11,6,1,Autumn,Medium,10.3,3.1,23.4,1
2023-10-23,Paris Orly,68.28,73.72,16.67935549,15.05599194,1.623363545,93.63,France,10,0,0,Autumn,Medium,10.3,5.6,17.7,1
2025-05-27,Paris Charles de Gaulle,67.85,81.52,15.08296296,8.8869846,6.195978363,95.0,France,5,1,0,Spring,Large,15.8,0.3,25.8,1
2025-03-18,Paris Charles de Gaulle,74.44,81.89,12.93247588,8.102419793,4.830056091,94.03,France,3,1,0,Spring,Large,5.9,0.0,16.7,0
2026-05-08,Nice,75.21,75.1,12.02892562,10.84011065,1.18881497,86.93,France,5,4,0,Spring,Medium,17.1,0.0,10.3,0
2023-08-13,Nice,56.93,68.01,22.14963504,16.07022059,6.079414448,89.75,France,8,6,1,Summer,Medium,26.0,0.0,10.6,1
2022-09-20,Paris Charles de Gaulle,64.11,79.9,16.38825449,10.90602377,5.482230715,97.19,France,9,1,0,Autumn,Large,11.8,0.0,10.1,1
2022-12-11,Paris Charles de Gaulle,44.44,62.38,30.77777778,21.14744802,9.630329763,98.07,France,12,6,1,Winter,Large,-2.2,0.0,12.9,1
2023-01-23,Nice,78.23,75.21,15.93548387,18.02336182,-2.087877952,92.09,France,1,0,0,Winter,Medium,6.4,2.3,17.9,1
2022-09-28,Paris Charles de Gaulle,61.09,76.01,17.30707395,10.95802269,6.349051265,97.66,France,9,2,0,Autumn,Large,11.3,0.3,17.7,1
2024-08-07,Nice,52.4,72.16,23.804,13.83921569,9.964784314,86.94,France,8,2,0,Summer,Medium,26.9,0.0,13.4,1
2023-10-28,Paris Orly,70.14,77.29,15.59027778,10.82943503,4.76084275,95.1,France,10,5,1,Autumn,Medium,12.3,5.0,33.4,1
2025-01-06,Nice,48.41,53.85,23.44585987,21.20854701,2.237312864,91.53,France,1,0,0,Winter,Medium,10.8,16.8,13.4,1
2024-02-27,Nice,84.21,86.11,10.35964912,8.051080247,2.308568876,88.24,France,2,1,0,Winter,Medium,9.9,17.6,12.2,0
2025-09-02,Nice,64.07,84.89,22.2987013,13.37214815,8.926553151,82.13,France,9,1,0,Autumn,Medium,20.8,0.0,22.7,1
2026-01-13,Paris Orly,86.04,87.34,6.977477477,7.864628821,-0.887151343,94.49,France,1,1,0,Winter,Medium,9.7,1.9,16.9,0
2026-02-14,Nice,72.18,78.83,14.36842105,10.79793187,3.570489179,86.08,France,2,5,1,Winter,Medium,10.9,12.6,23.2,0
2022-10-25,Nice,73.53,76.16,12.55882353,10.19602713,2.362796398,92.67,France,10,1,0,Autumn,Medium,19.0,0.0,10.4,0
2022-02-02,Paris Orly,90.28,94.56,4.194444444,3.075623583,1.118820862,84.48,France,2,2,0,Winter,Medium,9.5,0.1,20.6,0
2022-03-16,Paris Orly,86.16,91.15,8.263392857,3.96740413,4.295988727,96.57,France,3,2,0,Spring,Medium,11.3,0.4,14.5,0
2022-08-19,Nice,50.0,70.73,28.24166667,18.40433604,9.837330623,89.4,France,8,4,0,Summer,Medium,23.0,0.0,13.2,1
2022-09-06,Nice,56.84,69.79,24.54710526,15.54079861,9.006306652,89.91,France,9,1,0,Autumn,Medium,24.8,0.0,13.4,1
2025-03-20,Nice,80.77,79.75,12.8525641,11.51265823,1.339905875,90.23,France,3,3,0,Spring,Medium,9.8,0.0,18.7,0
2023-11-10,Paris Orly,73.6,78.86,12.60066007,10.90894855,1.69171152,94.74,France,11,4,0,Autumn,Medium,8.4,2.2,34.7,0
2024-11-10,Paris Orly,60.38,84.91,16.03326923,7.887798742,8.145470489,94.22,France,11,6,1,Autumn,Medium,10.4,1.7,13.0,1
2026-03-17,Paris Orly,90.09,93.72,5.844827586,4.322175732,1.522651854,94.72,France,3,1,0,Spring,Medium,10.1,0.0,10.5,0
2025-08-12,Paris Charles de Gaulle,58.27,77.23,21.46817539,14.15895804,7.30921735,95.23,France,8,1,0,Summer,Large,25.6,0.0,13.6,1
2022-10-24,Nice,56.97,68.24,25.91868687,19.55068627,6.368000594,86.6,France,10,0,0,Autumn,Medium,20.2,0.0,10.2,1
2025-04-27,Nice,47.84,56.83,31.82758621,26.76277533,5.064810877,88.39,France,4,6,1,Spring,Medium,16.1,8.2,14.2,1
2025-01-11,Paris Charles de Gaulle,56.95,67.47,20.41304631,16.22954092,4.183505396,94.39,France,1,5,1,Winter,Large,0.4,0.0,9.6,1
2023-04-01,Paris Orly,46.93,49.32,28.40789474,27.77277526,0.635119473,92.74,France,4,5,1,Spring,Medium,10.4,5.0,31.7,1
2024-07-20,Nice,18.34,33.57,64.16608997,45.44368231,18.72240765,80.8,France,7,5,1,Summer,Medium,26.3,0.0,13.4,1
2022-05-20,Paris Charles de Gaulle,31.34,56.6,34.66344178,22.19851485,12.46492693,96.73,France,5,4,0,Spring,Large,17.0,17.4,25.4,1
2023-02-21,Paris Orly,78.95,92.08,9.526315789,4.004339623,5.521976167,96.44,France,2,1,0,Winter,Medium,5.9,0.0,9.1,0
2022-05-13,Nice,69.57,75.8,16.647343,9.992009132,6.655333863,89.96,France,5,4,0,Spring,Medium,18.2,0.0,11.9,1
2022-10-18,Nice,76.3,81.37,12.29479769,8.208281573,4.086516114,91.41,France,10,1,0,Autumn,Medium,19.1,0.0,9.8,0
2022-12-05,Paris Charles de Gaulle,62.75,75.22,15.99082569,11.84803582,4.142789871,97.35,France,12,0,0,Winter,Large,1.8,4.8,10.3,1
2024-11-07,Nice,81.17,85.06,9.714285714,7.708333333,2.005952381,91.86,France,11,3,0,Autumn,Medium,15.0,0.0,11.1,0
2024-01-04,Nice,76.87,82.58,11.44776119,10.0219697,1.425791497,90.0,France,1,3,0,Winter,Medium,12.5,0.0,15.0,0
2024-12-20,Paris Orly,55.59,66.99,22.03947368,16.93627137,5.103202317,95.11,France,12,4,0,Winter,Medium,4.9,0.3,15.2,1
2023-05-17,Nice,46.45,60.79,25.46650869,17.89096916,7.575539526,88.54,France,5,2,0,Spring,Medium,16.9,8.8,13.4,1
2024-02-02,Paris Orly,65.37,83.9,14.34146341,8.098211382,6.243252033,97.16,France,2,4,0,Winter,Medium,6.2,0.0,14.0,0
2024-03-23,Nice,86.15,80.3,7.899230769,8.534090909,-0.63486014,95.0,France,3,5,1,Spring,Medium,14.8,0.0,16.4,0
2023-06-15,Nice,58.59,67.78,18.78414097,16.3834728,2.400668166,89.51,France,6,3,0,Summer,Medium,22.7,0.0,12.5,1
2025-06-14,Nice,56.42,71.69,20.83944954,16.41126332,4.428186223,89.92,France,6,5,1,Summer,Medium,26.7,0.0,9.9,1
2024-03-29,Paris Orly,74.56,83.33,13.02787456,9.504050926,3.523823639,95.7,France,3,4,0,Spring,Medium,10.3,6.9,23.8,0
2023-10-18,Nice,76.8,74.07,13.40721649,14.47795414,-1.07073765,90.09,France,10,2,0,Autumn,Medium,18.6,0.8,13.0,0
2024-12-16,Paris Charles de Gaulle,58.04,76.69,20.48264984,12.73208078,7.750569065,96.15,France,12,0,0,Winter,Large,9.0,0.0,14.1,1
2023-04-16,Paris Charles de Gaulle,46.12,64.02,26.30584022,20.20807995,6.097760265,97.28,France,4,6,1,Spring,Large,8.4,0.0,21.6,1
2025-02-09,Nice,73.2,75.66,11.39215686,10.53596491,0.85619195,89.71,France,2,6,1,Winter,Medium,9.8,0.0,13.7,0
2023-01-29,Nice,79.85,86.26,10.26119403,6.614885496,3.646308534,93.24,France,1,6,1,Winter,Medium,6.0,0.0,15.2,0
2024-12-24,Paris Charles de Gaulle,51.53,72.41,22.58617594,17.99373563,4.59244031,93.08,France,12,1,0,Winter,Large,6.1,0.3,9.5,1
2025-04-25,Paris Charles de Gaulle,62.6,77.71,16.86564885,11.54616147,5.319487389,97.65,France,4,4,0,Spring,Large,11.2,0.2,13.1,1
2025-12-22,Nice,68.1,72.61,15.7791411,14.04968153,1.729459576,89.13,France,12,0,0,Winter,Medium,12.1,20.0,20.3,1
2023-02-06,Paris Orly,78.29,83.59,11.27906977,8.813997396,2.465072372,96.28,France,2,0,0,Winter,Medium,3.1,0.0,17.4,0
